Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Depth First Search - Recursive,1890,1190,781,-620646420,0.230328,369.657,-1
Depth First Search - Recursive,1190,490,781,-620641420,0.269959,397.168,-1
Depth First Search - Recursive,490,2291,1800,-620636420,0.240076,910.698,-1
Depth First Search - Recursive,2291,1591,783,-620631420,0.244542,nan,-1
Depth First Search - Recursive,1591,891,783,-620626420,0.234865,390.514,-1
Depth First Search - Recursive,891,191,783,-620621420,0.386106,385.338,-1
Depth First Search - Recursive,191,1992,1800,-620616420,0.296398,910.244,-1
Depth First Search - Recursive,1992,1292,785,-620611420,0.244203,374.462,-1
Depth First Search - Recursive,1292,592,785,-620606420,0.230974,399.465,-1
Depth First Search - Recursive,592,2393,1800,-620601420,0.25857,883.811,-1
Depth First Search - Recursive,2393,1693,787,-620596420,0.290525,390.021,-1
Depth First Search - Recursive,1693,993,787,-620591420,0.381895,387.4,-1
Depth First Search - Recursive,993,293,787,-620586420,0.249595,398.65,-1
Depth First Search - Recursive,293,2094,1800,-620581420,0.255174,911.36,-1
Depth First Search - Recursive,2094,1394,789,-620576420,0.254858,381.884,-1
Depth First Search - Recursive,1394,694,789,-620571420,0.23653,404.135,-1
Depth First Search - Recursive,694,2495,1800,-620566420,0.259257,839.292,-1
Depth First Search - Recursive,2495,1795,701,-620561420,0.249705,337.623,-1
Depth First Search - Recursive,1795,1095,791,-620556420,0.269459,383.949,-1
Depth First Search - Recursive,1095,395,791,-620551420,0.226329,401.935,-1
Depth First Search - Recursive,395,2196,1800,-620546420,0.23698,915.229,-1
Depth First Search - Recursive,2196,1496,793,-620541420,0.307172,391.188,-1
Depth First Search - Recursive,1496,796,793,-620536420,0.27182,403.835,-1
Depth First Search - Recursive,796,96,793,-620531420,0.25108,3984552505828200828564107069941569897384535513039006938413503304909925276264085257530063223185998843369410577515277111489873066003141793597686175776129681071703340794541555235289171244107128462530936933403808792365204949832198747881292370775110791987200.000000000,-1
Depth First Search - Recursive,96,1897,1800,-620526420,0.500087,919.337,-1
Depth First Search - Recursive,1897,1197,795,-620521420,0.480196,376.068,-1
Depth First Search - Recursive,1197,497,795,-620516420,0.233114,404.031,-1
Depth First Search - Recursive,497,2298,1800,-620511420,0.249209,nan,-1
Depth First Search - Recursive,2298,1598,797,-620506420,0.250227,nan,-1
Depth First Search - Recursive,1598,898,797,-620501420,0.278203,398.239,-1
Depth First Search - Recursive,898,198,797,-620496420,0.248424,391.473,-1
Depth First Search - Recursive,198,1999,1800,-620491420,0.253219,910.915,-1
Depth First Search - Recursive,1999,1299,799,-620486420,0.281123,387.654,-1
Depth First Search - Recursive,1299,599,799,-620481420,0.210148,405.124,-1
Depth First Search - Recursive,599,2400,1800,-620476420,0.234397,915.718,-1
Depth First Search - Recursive,2400,1700,701,-620471420,0.288163,295.004,-1
Depth First Search - Recursive,1700,1000,701,-620466420,0.236916,370.395,-1
Depth First Search - Recursive,1000,300,701,-620461420,0.247589,342.098,-1
Depth First Search - Recursive,300,2101,1851,-620456420,0.29145,933.931,-1
Depth First Search - Recursive,2101,1401,701,-620451420,0.26589,356.083,-1
Depth First Search - Recursive,1401,701,701,-620446420,0.331889,363.477,-1
Depth First Search - Recursive,701,1,701,-620441420,0.242474,345.18,-1
Depth First Search - Recursive,1,1802,1802,-620436420,0.27703,918.392,-1
Depth First Search - Recursive,1802,1102,705,-620431420,0.212345,367.45,-1
Depth First Search - Recursive,1102,402,705,-620426420,0.237535,353.695,-1
Depth First Search - Recursive,402,2203,1800,-620421420,0.231974,859.079,-1
Depth First Search - Recursive,2203,1503,707,-620416420,0.229444,317.894,-1
Depth First Search - Recursive,1503,803,707,-620411420,0.202606,357.697,-1
Depth First Search - Recursive,803,103,707,-620406420,0.208631,348.461,-1
Depth First Search - Recursive,103,1904,1800,-620401420,0.279749,879.243,-1
Depth First Search - Recursive,1904,1204,709,-620396420,0.564186,374.317,-1
Depth First Search - Recursive,1204,504,709,-620391420,0.28906,354.24,-1
Depth First Search - Recursive,504,2305,1800,-620386420,0.211982,892.931,-1
Depth First Search - Recursive,2305,1605,711,-620381420,0.353107,309.696,-1
Depth First Search - Recursive,1605,905,711,-620376420,0.269882,369.488,-1
Depth First Search - Recursive,905,205,711,-620371420,0.227154,346.157,-1
Depth First Search - Recursive,205,2006,1800,-620366420,0.233627,880.703,-1
Depth First Search - Recursive,2006,1306,713,-620361420,0.217679,360.414,-1
Depth First Search - Recursive,1306,606,713,-620356420,0.21873,360.195,-1
Depth First Search - Recursive,606,2407,1800,-620351420,0.218105,833.712,-1
Depth First Search - Recursive,2407,1707,715,-620346420,0.247086,339.654,-1
Depth First Search - Recursive,1707,1007,715,-620341420,0.213525,368.009,-1
Depth First Search - Recursive,1007,307,715,-620336420,0.208104,354.229,-1
Depth First Search - Recursive,307,2108,1800,-620331420,0.229175,887.19,-1
Depth First Search - Recursive,2108,1408,717,-620326420,0.314845,341.949,-1
Depth First Search - Recursive,1408,708,717,-620321420,0.206693,366.537,-1
Depth First Search - Recursive,708,8,717,-620316420,0.226859,360.245,-1
Depth First Search - Recursive,8,1809,1800,-620311420,0.250538,878.728,-1
Depth First Search - Recursive,1809,1109,719,-620306420,0.217185,374.091,-1
Depth First Search - Recursive,1109,409,719,-620301420,0.202466,359.413,-1
Depth First Search - Recursive,409,2210,1800,-620296420,0.227895,890.186,-1
Depth First Search - Recursive,2210,1510,721,-620291420,0.234793,nan,-1
Depth First Search - Recursive,1510,810,721,-620286420,0.202125,367.009,-1
Depth First Search - Recursive,810,110,721,-620281420,0.20478,354.798,-1
Depth First Search - Recursive,110,1911,1800,-620276420,0.230104,879.537,-1
Depth First Search - Recursive,1911,1211,723,-620271420,0.220061,nan,-1
Depth First Search - Recursive,1211,511,723,-620266420,0.211112,360.267,-1
Depth First Search - Recursive,511,2312,1800,-620261420,0.216541,892.014,-1
Depth First Search - Recursive,2312,1612,725,-620256420,0.230578,359.862,-1
