Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Depth First Search - Recursive,490,2291,2290,-620633920,0.381974,1135.479,-1
Depth First Search - Recursive,2291,1591,15,-620628920,0.373836,7.711,-1
Depth First Search - Recursive,1591,891,15,-620623920,0.438533,7.606,-1
Depth First Search - Recursive,891,191,15,-620618920,0.336778,7.574,-1
Depth First Search - Recursive,191,1992,1992,-620613920,0.336402,3984552505828200828564107069941569897384535513039006938413503304909925276264085257530063223185998843369410577515277111489873066003141793597686175776129681071703340794541555235289171244107128462530936933403808792365204949832198747881292370775110791987200.000000000,-1
Depth First Search - Recursive,1992,1292,15,-620608920,0.373492,5.933,-1
Depth First Search - Recursive,1292,592,15,-620603920,0.417677,6.646,-1
Depth First Search - Recursive,592,2393,2392,-620598920,0.352962,1191.418,-1
Depth First Search - Recursive,2393,1693,15,-620593920,0.633318,4.436,-1
Depth First Search - Recursive,1693,993,15,-620588920,0.364221,6.685,-1
Depth First Search - Recursive,993,293,15,-620583920,0.461671,7.813,-1
Depth First Search - Recursive,293,2094,2094,-620578920,0.339714,1032.146,-1
Depth First Search - Recursive,2094,1394,15,-620573920,0.43769,6.497,-1
Depth First Search - Recursive,1394,694,15,-620568920,0.375931,7.993,-1
Depth First Search - Recursive,694,2495,2494,-620563920,0.34967,nan,-1
Depth First Search - Recursive,2495,1795,15,-620558920,0.393737,8.427,-1
Depth First Search - Recursive,1795,1095,15,-620553920,0.324937,7.754,-1
Depth First Search - Recursive,1095,395,15,-620548920,0.318294,8.046,-1
Depth First Search - Recursive,395,2196,2196,-620543920,0.583334,1003.862,-1
Depth First Search - Recursive,2196,1496,15,-620538920,0.423332,8.147,-1
Depth First Search - Recursive,1496,796,15,-620533920,0.347481,4.162,-1
Depth First Search - Recursive,796,96,15,-620528920,0.406621,7.199,-1
Depth First Search - Recursive,96,1897,1896,-620523920,0.358866,930.97,-1
Depth First Search - Recursive,1897,1197,15,-620518920,0.421205,3.732,-1
Depth First Search - Recursive,1197,497,15,-620513920,0.397242,8.338,-1
Depth First Search - Recursive,497,2298,2298,-620508920,0.35096,nan,-1
Depth First Search - Recursive,2298,1598,15,-620503920,0.324648,5.574,-1
Depth First Search - Recursive,1598,898,15,-620498920,0.339756,6.877,-1
Depth First Search - Recursive,898,198,15,-620493920,0.371088,6.08,-1
Depth First Search - Recursive,198,1999,1998,-620488920,0.307107,3984552505828200828564107069941569897384535513039006938413503304909925276264085257530063223185998843369410577515277111489873066003141793597686175776129681071703340794541555235289171244107128462530936933403808792365204949832198747881292370775110791987200.000000000,-1
Depth First Search - Recursive,1999,1299,15,-620483920,0.311003,6.502,-1
Depth First Search - Recursive,1299,599,15,-620478920,0.326012,7.139,-1
Depth First Search - Recursive,599,2400,2388,-620473920,0.336299,1120.419,-1
Depth First Search - Recursive,2400,1700,15,-620468920,0.307498,6.364,-1
Depth First Search - Recursive,1700,1000,15,-620463920,0.350414,6.503,-1
Depth First Search - Recursive,1000,300,15,-620458920,0.363584,6.949,-1
Depth First Search - Recursive,300,2101,2149,-620453920,0.33263,1037.924,-1
Depth First Search - Recursive,2101,1401,15,-620448920,0.374056,7.828,-1
Depth First Search - Recursive,1401,701,15,-620443920,0.402502,5.167,-1
Depth First Search - Recursive,701,1,15,-620438920,0.313249,8.242,-1
Depth First Search - Recursive,1,1802,1802,-620433920,0.303883,918.392,-1
Depth First Search - Recursive,1802,1102,15,-620428920,0.351072,5.38,-1
Depth First Search - Recursive,1102,402,15,-620423920,0.344619,7.977,-1
Depth First Search - Recursive,402,2203,2236,-620418920,0.303779,1116.018,-1
Depth First Search - Recursive,2203,1503,15,-620413920,0.30829,3.614,-1
Depth First Search - Recursive,1503,803,15,-620408920,0.316671,6.622,-1
Depth First Search - Recursive,803,103,15,-620403920,0.654827,6.913,-1
Depth First Search - Recursive,103,1904,1936,-620398920,0.347667,958.176,-1
Depth First Search - Recursive,1904,1204,15,-620393920,0.422684,6.514,-1
Depth First Search - Recursive,1204,504,15,-620388920,0.334672,5.131,-1
Depth First Search - Recursive,504,2305,2336,-620383920,0.311605,1123.092,-1
Depth First Search - Recursive,2305,1605,15,-620378920,0.323393,7.245,-1
Depth First Search - Recursive,1605,905,15,-620373920,0.397003,8.24,-1
Depth First Search - Recursive,905,205,15,-620368920,0.312476,6.537,-1
Depth First Search - Recursive,205,2006,2036,-620363920,0.313281,1.5736E+190,-1
Depth First Search - Recursive,2006,1306,15,-620358920,0.298481,7.925,-1
Depth First Search - Recursive,1306,606,15,-620353920,0.34602,6.806,-1
Depth First Search - Recursive,606,2407,2436,-620348920,0.343799,1.5736E+190,-1
Depth First Search - Recursive,2407,1707,15,-620343920,0.303736,8.697,-1
Depth First Search - Recursive,1707,1007,15,-620338920,0.309616,6.123,-1
Depth First Search - Recursive,1007,307,15,-620333920,0.304773,6.027,-1
Depth First Search - Recursive,307,2108,2136,-620328920,0.297828,1063.446,-1
Depth First Search - Recursive,2108,1408,15,-620323920,0.368456,6.357,-1
Depth First Search - Recursive,1408,708,15,-620318920,0.307723,6.116,-1
Depth First Search - Recursive,708,8,15,-620313920,0.306601,6.622,-1
Depth First Search - Recursive,8,1809,1836,-620308920,0.30822,3984552505828200828564107069941569897384535513039006938413503304909925276264085257530063223185998843369410577515277111489873066003141793597686175776129681071703340794541555235289171244107128462530936933403808792365204949832198747881292370775110791987200.000000000,-1
Depth First Search - Recursive,1809,1109,15,-620303920,0.298809,7.569,-1
Depth First Search - Recursive,1109,409,15,-620298920,0.340812,7.084,-1
Depth First Search - Recursive,409,2210,2236,-620293920,0.349178,1102.959,-1
Depth First Search - Recursive,2210,1510,15,-620288920,0.304928,6.768,-1
Depth First Search - Recursive,1510,810,15,-620283920,0.310602,5.32,-1
Depth First Search - Recursive,810,110,15,-620278920,0.305274,6.305,-1
Depth First Search - Recursive,110,1911,1936,-620273920,0.301246,5.9523E+228,-1
Depth First Search - Recursive,1911,1211,15,-620268920,0.328042,8.654,-1
Depth First Search - Recursive,1211,511,15,-620263920,0.309999,7.403,-1
Depth First Search - Recursive,511,2312,2336,-620258920,0.305263,5.9523E+228,-1
Depth First Search - Recursive,2312,1612,15,-620253920,0.298764,7.751,-1
Breadth First Search - Iterative,1584,884,15,367,0.193431,7.021,-1
Breadth First Search - Iterative,884,184,15,367,0.188344,5.616,-1
Breadth First Search - Iterative,184,1985,38,1353,0.258941,21.733,-1
Breadth First Search - Iterative,1985,1285,15,358,0.213718,5.355,-1
Breadth First Search - Iterative,1285,585,15,367,0.20551,5.387,-1
Breadth First Search - Iterative,585,2386,38,1699,0.233058,16.13,-1
Breadth First Search - Iterative,2386,1686,15,246,0.190881,6.761,-1
Breadth First Search - Iterative,1686,986,15,367,0.191959,6.48,-1
Breadth First Search - Iterative,986,286,15,367,0.202913,7.329,-1
Breadth First Search - Iterative,286,2087,38,1409,0.223758,19.265,-1
Breadth First Search - Iterative,2087,1387,15,342,0.202731,8.129,-1
Breadth First Search - Iterative,1387,687,15,367,0.192018,4.842,-1
Breadth First Search - Iterative,687,2488,38,1715,0.239638,14.976,-1
Breadth First Search - Iterative,2488,1788,15,197,0.196965,-2.32036E+77,-1
Breadth First Search - Iterative,1788,1088,15,366,0.19744,6.618,-1
Breadth First Search - Iterative,1088,388,15,366,0.194876,7.872,-1
