Depth First Search - Iterative,306,2107,38,2426,0.317581,16.334000000,-1.000000000
Depth First Search - Iterative,1407,707,923,928,0.308864,26867836762809200164794749927698184051535213797539050416562767186211638369750837782426942948286535048654879945143619981540910925716787867682038043304263680.000000000,-1.000000000
Depth First Search - Iterative,7,1808,38,2427,0.279138,18.760000000,-1.000000000
Depth First Search - Iterative,1108,408,1033,1522,0.341343,26867836762809200164794749927698184051535213797539050416562767186211638369750837782426942948286535048654879945143619981540910925716787867682038043304263680.000000000,-1.000000000
Depth First Search - Iterative,2209,1509,517,519,0.245955,3111082952052487699001993922467722223012329945154587224236986617174080964545226786521446389676869939162770392552484981559666897291208895121058944045978158467282531149700024148696092108503698798416672644809963172796616260372341456896.000000000,-1.000000000
Depth First Search - Recursive,2304,1604,15,926435516,0.327692,3.346000000,-1.000000000
Depth First Search - Recursive,904,204,15,926440516,0.318802,6.504000000,-1.000000000
Depth First Search - Recursive,2005,1305,15,926445516,0.321922,7.774000000,-1.000000000
Depth First Search - Recursive,605,2406,2436,926450516,0.321790,nan,-1.000000000
Depth First Search - Recursive,1706,1006,15,926455516,0.304831,8.266000000,-1.000000000
Depth First Search - Recursive,306,2107,2136,926460516,0.416044,nan,-1.000000000
Depth First Search - Recursive,1407,707,15,926465516,0.479543,4.412000000,-1.000000000
Depth First Search - Recursive,7,1808,1836,926470516,0.503445,12444331808221357164888070599604659901982286910347666474857534481042115411292282245384978837023505825535101366369580193398531751869764406612983113122349531743714091404558102232122622842095545590396993139582299429896235021584671178752.000000000,-1.000000000
Depth First Search - Recursive,1108,408,15,926475516,0.568029,4.671000000,-1.000000000
Depth First Search - Recursive,2209,1509,15,926480516,0.465623,7.384000000,-1.000000000
Breadth First Search - Iterative,2304,1604,15,188,0.232343,3.346000000,-1.000000000
Breadth First Search - Iterative,904,204,15,267,0.334665,6.873000000,-1.000000000
Breadth First Search - Iterative,2005,1305,15,270,0.230695,6.060000000,-1.000000000
Breadth First Search - Iterative,605,2406,38,1309,0.343134,18.126000000,-1.000000000
Breadth First Search - Iterative,1706,1006,15,303,0.263381,7.754000000,-1.000000000
Breadth First Search - Iterative,306,2107,38,1153,0.371492,20.339000000,-1.000000000
Breadth First Search - Iterative,1407,707,15,318,0.248601,6.148000000,-1.000000000
Breadth First Search - Iterative,7,1808,38,948,0.303064,-3111082951993757723161016849459271066150631503923176486865586976479474952172991227793014267651117483544572961685304319236243966216864589262434403280330777443909341811276172951562114518831155214961803024545780354644153965010978078720.000000000,-1.000000000
Breadth First Search - Iterative,1108,408,15,331,0.265530,6.410000000,-1.000000000
Breadth First Search - Iterative,2209,1509,15,278,0.234297,6.445000000,-1.000000000
Breadth First Search - Recursive,2304,1604,15,2500,0.287040,3.346000000,-1.000000000
Breadth First Search - Recursive,904,204,15,2500,0.359575,6.873000000,-1.000000000
Breadth First Search - Recursive,2005,1305,15,2500,0.235456,6.542000000,-1.000000000
Breadth First Search - Recursive,605,2406,38,2500,0.260507,19.337000000,-1.000000000
Breadth First Search - Recursive,1706,1006,15,2500,0.261437,8.208000000,-1.000000000
Breadth First Search - Recursive,306,2107,38,2500,0.257816,20.110000000,-1.000000000
Breadth First Search - Recursive,1407,707,15,2500,0.367765,6.152000000,-1.000000000
Breadth First Search - Recursive,7,1808,38,2500,0.263274,16.996000000,-1.000000000
Breadth First Search - Recursive,1108,408,15,2500,0.278149,6.410000000,-1.000000000
Breadth First Search - Recursive,2209,1509,15,2500,0.272163,5.769000000,-1.000000000
