Depth First Search - Recursive,2316,1616,15,265000,0.291775,4.199,-1
Depth First Search - Recursive,916,216,15,270000,0.291202,6.741,-1
Depth First Search - Recursive,2017,1317,15,275000,0.288332,7.147,-1
Depth First Search - Recursive,617,2418,2432,280000,0.302352,988.109,-1
Depth First Search - Recursive,1718,1018,15,285000,0.287263,5.129,-1
Depth First Search - Recursive,318,2119,2132,290000,0.29322,nan,-1
Depth First Search - Recursive,1419,719,15,295000,0.287876,4.785,-1
Depth First Search - Recursive,19,1820,1830,300000,0.290494,904.045,-1
Depth First Search - Recursive,1120,420,15,305000,0.286307,7.351,-1
Depth First Search - Recursive,2221,1521,15,310000,0.2892,5.225,-1
Depth First Search - Recursive,821,121,15,315000,0.292013,7.877,-1
Depth First Search - Recursive,1922,1222,15,320000,0.293259,7.834,-1
Depth First Search - Recursive,522,2323,2328,325000,0.28739,nan,-1
Depth First Search - Recursive,1623,923,15,330000,0.287025,6.406,-1
Depth First Search - Recursive,223,2024,2026,335000,0.288933,nan,-1
Depth First Search - Recursive,1324,624,15,340000,0.287635,7.67,-1
Depth First Search - Recursive,2425,1725,15,345000,0.284349,3.797,-1
Depth First Search - Recursive,1025,325,15,350000,0.290779,5.304,-1
Depth First Search - Recursive,2126,1426,15,355000,0.287893,6.911,-1
Depth First Search - Recursive,726,26,15,360000,0.287896,6.546,-1
Depth First Search - Recursive,1827,1127,15,365000,0.28589,6.696,-1
Depth First Search - Recursive,427,2228,2222,370000,0.291833,nan,-1
Depth First Search - Recursive,1528,828,15,375000,0.290345,4.967,-1
Depth First Search - Recursive,128,1929,1922,380000,0.297099,953.247,-1
Depth First Search - Recursive,1229,529,15,385000,0.289105,7.254,-1
Depth First Search - Recursive,2330,1630,15,390000,0.290801,3.945,-1
Depth First Search - Recursive,930,230,15,395000,0.288781,7.604,-1
Depth First Search - Recursive,2031,1331,15,400000,0.289723,7.553,-1
Depth First Search - Recursive,631,2432,2418,405000,0.292339,nan,-1
Depth First Search - Recursive,1732,1032,15,410000,0.289497,7.763,-1
Depth First Search - Recursive,332,2133,2118,415000,0.290499,nan,-1
Depth First Search - Recursive,1433,733,15,420000,0.289436,7.573,-1
Depth First Search - Recursive,33,1834,1816,425000,0.290973,899.931,-1
Depth First Search - Recursive,1134,434,15,430000,0.288809,6.942,-1
Depth First Search - Recursive,2235,1535,15,435000,0.318261,2.839,-1
Depth First Search - Recursive,835,135,15,440000,0.291647,7.016,-1
Depth First Search - Recursive,1936,1236,15,445000,0.284196,7.415,-1
Depth First Search - Recursive,536,2337,2314,450000,0.285756,989.231,-1
Depth First Search - Recursive,1637,937,15,455000,0.286881,6.613,-1
Depth First Search - Recursive,237,2038,2012,460000,0.285419,nan,-1
Depth First Search - Recursive,1338,638,15,465000,0.290712,7.311,-1
Depth First Search - Recursive,2439,1739,15,470000,0.283603,2.391,-1
Depth First Search - Recursive,1039,339,15,475000,0.28672,7.172,-1
Depth First Search - Recursive,2140,1440,15,480000,0.285959,5.711,-1
Depth First Search - Recursive,740,40,15,485000,0.286272,6.693,-1
Depth First Search - Recursive,1841,1141,15,490000,0.285468,8.339,-1
Depth First Search - Recursive,441,2242,2208,495000,0.296974,987.394,-1
Depth First Search - Recursive,1542,842,15,500000,0.289574,6.573,-1
Breadth First Search - Iterative,86,1887,38,1215,0.191442,19.407,-1
Breadth First Search - Iterative,1187,487,15,367,0.165783,6.965,-1
Breadth First Search - Iterative,2288,1588,15,285,0.162132,4.516,-1
Breadth First Search - Iterative,888,188,15,366,0.164349,8.198,-1
Breadth First Search - Iterative,1989,1289,15,354,0.165419,6.127,-1
Breadth First Search - Iterative,589,2390,38,1566,0.19384,16.785,-1
Breadth First Search - Iterative,1690,990,15,358,0.164928,6.988,-1
Breadth First Search - Iterative,290,2091,38,1291,0.18938,17.114,-1
Breadth First Search - Iterative,1391,691,15,351,0.163258,7.463,-1
Breadth First Search - Iterative,2492,1792,15,183,0.160205,4.967,-1
Breadth First Search - Iterative,1092,392,15,342,0.165028,6.791,-1
Breadth First Search - Iterative,2193,1493,15,282,0.16175,5.767,-1
Breadth First Search - Iterative,793,93,15,331,0.164807,5.917,-1
Breadth First Search - Iterative,1894,1194,15,317,0.163916,6.738,-1
Breadth First Search - Iterative,494,2295,38,1299,0.186157,19.658,-1
Breadth First Search - Iterative,1595,895,15,303,0.168529,8.17,-1
Breadth First Search - Iterative,195,1996,38,1039,0.182826,18.337,-1
Breadth First Search - Iterative,1296,596,15,286,0.162723,4.59,-1
Breadth First Search - Iterative,2397,1697,15,174,0.159954,4.435,-1
Breadth First Search - Iterative,997,297,15,267,0.162759,8.91,-1
Breadth First Search - Iterative,2098,1398,15,224,0.160864,5.444,-1
Breadth First Search - Iterative,698,2499,38,1243,0.18689,14.589,-1
Breadth First Search - Iterative,1799,1099,15,223,0.161586,5.95,-1
Breadth First Search - Iterative,399,2200,38,1023,0.180122,18.977,-1
Breadth First Search - Iterative,1500,800,15,198,0.170867,7.324,-1
Breadth First Search - Iterative,100,1901,87,2424,0.23128,44.977,-1
Breadth First Search - Iterative,1201,501,15,198,0.178497,6.06,-1
Breadth First Search - Iterative,2302,1602,15,159,0.18042,4.811,-1
Breadth First Search - Iterative,902,202,15,223,0.177573,7.244,-1
Breadth First Search - Iterative,2003,1303,15,231,0.180079,5.806,-1
Breadth First Search - Iterative,603,2404,38,1216,0.201008,18.771,-1
Breadth First Search - Iterative,1704,1004,15,267,0.175388,6.071,-1
Breadth First Search - Iterative,304,2105,38,1074,0.195905,20.327,-1
Breadth First Search - Iterative,1405,705,15,286,0.175248,8.75,-1
Breadth First Search - Iterative,5,1806,38,883,0.193047,17.921,-1
Breadth First Search - Iterative,1106,406,15,303,0.17403,4.065,-1
Breadth First Search - Iterative,2207,1507,15,255,0.171999,5.479,-1
Breadth First Search - Iterative,807,107,15,318,0.173994,6.462,-1
Breadth First Search - Iterative,1908,1208,15,327,0.174089,6.523,-1
Breadth First Search - Iterative,508,2309,38,1374,0.199199,16.569,-1
Breadth First Search - Iterative,1609,909,15,342,0.174951,6.744,-1
Breadth First Search - Iterative,209,2010,38,1183,0.194327,18.802,-1
Breadth First Search - Iterative,1310,610,15,351,0.174135,4.994,-1
Breadth First Search - Iterative,2411,1711,15,215,0.171105,5.97,-1
Breadth First Search - Iterative,1011,311,15,358,0.174589,7.416,-1
Breadth First Search - Iterative,2112,1412,15,327,0.171156,5.842,-1
Breadth First Search - Iterative,712,12,15,363,0.174721,4.285,-1
Breadth First Search - Iterative,1813,1113,15,366,0.173586,7.494,-1
Breadth First Search - Iterative,413,2214,38,1483,0.200681,15.831,-1
Breadth First Search - Iterative,1514,814,15,367,0.173138,8.665,-1
