Depth First Search - Iterative,2054,1354,15,15,0.173828,6.986000000,-1.000000000
Depth First Search - Iterative,654,2455,66,2217,0.241372,26.415000000,-1.000000000
Depth First Search - Iterative,1755,1055,15,15,0.181946,8.347000000,-1.000000000
Depth First Search - Iterative,355,2156,54,2406,0.232275,26.819000000,-1.000000000
Depth First Search - Iterative,1456,756,15,15,0.174640,6.555000000,-1.000000000
Depth First Search - Iterative,56,1857,42,2425,0.213976,19.522000000,-1.000000000
Depth First Search - Iterative,1157,457,15,15,0.167017,5.057000000,-1.000000000
Depth First Search - Iterative,2258,1558,15,15,0.164038,6.637000000,-1.000000000
Depth First Search - Iterative,858,158,15,15,0.166551,6.459000000,-1.000000000
Depth First Search - Iterative,1959,1259,15,15,0.173157,7.700000000,-1.000000000
Depth First Search - Iterative,559,2360,62,2394,0.211545,31.628000000,-1.000000000
Depth First Search - Iterative,1660,960,15,15,0.164869,6.648000000,-1.000000000
Depth First Search - Iterative,260,2061,50,2412,0.210060,24.888000000,-1.000000000
Depth First Search - Iterative,1361,661,15,15,0.165315,9.095000000,-1.000000000
Depth First Search - Iterative,2462,1762,15,15,0.167086,7.065000000,-1.000000000
Depth First Search - Iterative,1062,362,15,15,0.252626,5.444000000,-1.000000000
Depth First Search - Iterative,2163,1463,15,15,0.268899,7.892000000,-1.000000000
Depth First Search - Iterative,763,63,15,15,0.236671,5.718000000,-1.000000000
Depth First Search - Iterative,1864,1164,15,15,0.182298,7.651000000,-1.000000000
Depth First Search - Iterative,464,2265,58,2400,0.204620,25.384000000,-1.000000000
Depth First Search - Iterative,1565,865,15,15,0.166175,8.283000000,-1.000000000
Depth First Search - Iterative,165,1966,46,2418,0.221415,21.923000000,-1.000000000
Depth First Search - Iterative,1266,566,15,15,0.184443,7.306000000,-1.000000000
Depth First Search - Iterative,2367,1667,15,15,0.176170,2.469000000,-1.000000000
Depth First Search - Iterative,967,267,15,15,0.189641,4.826000000,-1.000000000
Depth First Search - Iterative,2068,1368,15,15,0.211138,5.997000000,-1.000000000
Depth First Search - Iterative,668,2469,66,1517,0.216601,33.204000000,-1.000000000
Depth First Search - Iterative,1769,1069,15,15,0.189183,6.728000000,-1.000000000
Depth First Search - Iterative,369,2170,54,2406,0.206184,26.435000000,-1.000000000
Depth First Search - Iterative,1470,770,15,15,0.165765,7.719000000,-1.000000000
Depth First Search - Iterative,70,1871,42,2425,0.200572,18.907000000,-1.000000000
Depth First Search - Iterative,1171,471,15,15,0.178217,5.906000000,-1.000000000
Depth First Search - Iterative,2272,1572,15,15,0.171306,-80446847579655582597444149989235076764876194923554360266341368662330584180441281860811245789001420566140191149118916305122523296871679419678601894036504576.000000000,-1.000000000
Depth First Search - Iterative,872,172,15,15,0.169288,5.606000000,-1.000000000
Depth First Search - Iterative,1973,1273,15,15,0.165564,6.746000000,-1.000000000
Depth First Search - Iterative,573,2374,62,2394,0.203701,31.542000000,-1.000000000
Depth First Search - Iterative,1674,974,15,15,0.172110,6.602000000,-1.000000000
Depth First Search - Iterative,274,2075,50,2412,0.198901,20.762000000,-1.000000000
Depth First Search - Iterative,1375,675,15,15,0.165346,5.460000000,-1.000000000
Depth First Search - Iterative,2476,1776,15,15,0.164973,7.383000000,-1.000000000
Depth First Search - Iterative,1076,376,15,15,0.164637,5.848000000,-1.000000000
Depth First Search - Iterative,2177,1477,15,15,0.165734,8.208000000,-1.000000000
Depth First Search - Iterative,777,77,15,15,0.163777,8.325000000,-1.000000000
Depth First Search - Iterative,1878,1178,15,15,0.163700,5.991000000,-1.000000000
